run,cd,cl,clf,clr,cs
1,3.109247e-01,6.938221e-02,-4.537165e-02,1.147539e-01,4.883181e-02
2,2.952946e-01,4.773654e-02,-3.902183e-02,8.675837e-02,3.188037e-03
3,2.523880e-01,9.328134e-03,-1.135493e-01,1.228774e-01,1.809091e-02
4,2.741554e-01,4.710213e-02,-8.919710e-02,1.362992e-01,2.709426e-02
5,2.317746e-01,-4.635930e-02,-9.747833e-02,5.111903e-02,-9.645980e-03
6,2.629200e-01,-3.817348e-02,-1.278154e-01,8.964187e-02,1.005818e-02
7,2.347808e-01,-4.373410e-03,-4.016724e-02,3.579383e-02,2.555209e-03
8,3.328081e-01,3.390811e-02,-1.292197e-01,1.631278e-01,2.223528e-02
9,2.901650e-01,1.319558e-01,-9.254560e-03,1.412104e-01,2.233862e-02
10,2.309405e-01,-7.105068e-02,-1.485208e-01,7.747012e-02,7.532151e-03
11,3.451425e-01,1.307600e-01,-2.205725e-02,1.528172e-01,5.457644e-02
12,2.524826e-01,4.352817e-02,-7.298652e-02,1.165147e-01,9.935341e-03
13,2.638937e-01,-4.113306e-02,-1.467976e-01,1.056645e-01,1.856781e-02
14,3.221728e-01,1.322540e-01,-3.282797e-03,1.355368e-01,4.830825e-02
15,3.002725e-01,-4.015649e-03,-7.279112e-02,6.877547e-02,2.550625e-02
16,2.393495e-01,-4.497875e-03,-1.258208e-01,1.213229e-01,2.682865e-02
17,2.613187e-01,5.254435e-03,-1.088412e-01,1.140956e-01,7.579102e-03
18,2.438317e-01,3.849065e-03,-4.169364e-02,4.554271e-02,2.113742e-02
19,3.353538e-01,1.308962e-01,-4.537076e-02,1.762670e-01,6.224246e-02
20,2.703701e-01,-3.390666e-02,-1.573774e-01,1.234707e-01,2.073591e-02
21,2.624969e-01,6.582313e-02,-1.444702e-02,8.027015e-02,2.163024e-02
22,2.934338e-01,6.040572e-03,-1.080599e-01,1.141005e-01,2.498183e-02
23,2.900006e-01,2.193818e-02,-8.572146e-02,1.076596e-01,2.866169e-02
24,2.872250e-01,1.414799e-01,-2.860162e-02,1.700815e-01,2.951889e-02
25,3.020290e-01,-5.093628e-02,-1.777416e-01,1.268053e-01,4.469855e-03
26,2.628123e-01,4.947448e-02,-4.335263e-02,9.282712e-02,3.815334e-02
27,2.279225e-01,2.664750e-02,-1.046443e-01,1.312918e-01,3.229890e-02
28,3.003941e-01,5.441257e-02,1.311253e-03,5.310132e-02,1.178897e-03
29,3.151997e-01,1.246848e-01,-1.511819e-02,1.398030e-01,3.694688e-02
30,3.119179e-01,4.244317e-02,-1.025655e-01,1.450087e-01,2.095330e-02
31,2.686228e-01,2.455714e-02,-1.561183e-01,1.806754e-01,1.604835e-02
32,2.452839e-01,-5.529693e-02,-1.279382e-01,7.264123e-02,1.163340e-02
33,2.632787e-01,-3.905341e-02,-1.351666e-01,9.611315e-02,1.028317e-02
34,3.056847e-01,1.432221e-01,-1.749586e-02,1.607179e-01,2.435979e-02
35,3.014520e-01,3.212079e-02,-6.626095e-02,9.838173e-02,1.065985e-02
36,2.789228e-01,5.857476e-02,-5.350594e-02,1.120807e-01,3.288084e-02
37,2.414356e-01,1.138492e-02,-2.820605e-02,3.959097e-02,1.629616e-02
38,2.788926e-01,-9.116085e-02,-2.025051e-01,1.113442e-01,1.198249e-02
39,3.304824e-01,1.214046e-01,6.154494e-03,1.152501e-01,5.500295e-02
40,2.813341e-01,9.891009e-02,-7.172973e-02,1.706398e-01,3.137060e-02
41,2.898957e-01,8.121678e-02,-3.674000e-02,1.179568e-01,-7.029892e-04
42,2.586246e-01,2.657112e-02,-8.402314e-02,1.105943e-01,2.592781e-02
43,2.464144e-01,-1.159862e-01,-1.546200e-01,3.863385e-02,1.546789e-02
44,3.011629e-01,6.685055e-02,-2.623502e-02,9.308558e-02,3.840692e-02
45,2.559104e-01,-1.993661e-02,-8.612507e-02,6.618846e-02,1.004594e-02
46,3.195395e-01,3.328333e-02,-1.367614e-01,1.700447e-01,2.394020e-02
47,3.085765e-01,1.773388e-01,-2.443215e-02,2.017710e-01,2.434848e-02
48,2.294048e-01,-4.885286e-02,-9.228301e-02,4.343014e-02,4.654673e-03
49,3.416509e-01,1.131484e-01,-6.973667e-02,1.828850e-01,5.669965e-02
50,2.387174e-01,-1.330803e-01,-1.965217e-01,6.344139e-02,1.494238e-02
