Run, Vehicle_Length, Vehicle_Width, Vehicle_Height, Front_Overhang, Front_Planview, Hood_Angle, Approach_Angle, Windscreen_Angle, Greenhouse_Tapering, Backlight_Angle, Decklid_Height, Rearend_tapering, Rear_Overhang, Rear_Diffusor_Angle, Vehicle_Ride_Height, Vehicle_Pitch
1,186.075, -21.1234, 56.6198, 49.61, 61.7471, -30.2449, -16.5344, 80.4689, -44.4451, 66.191, -2.26029, 10.6193, -58.8039, 1.34009, 45.223, 0.83239
2,-13.9249, 78.8766, -43.3802, -75.39, -13.2529, 19.7551, 18.4656, -69.5311, 55.5549, -83.809, 47.7397, -69.3807, 66.1961, -48.6599, -4.77703, -0.16761
3,-113.925, 28.8766, -93.3802, -137.89, -50.7529, -5.24486, 0.965593, -144.531, 5.55494, 141.191, 22.7397, 50.6193, 3.69612, 26.3401, -29.777, -0.66761
4,86.0751, -71.1234, 6.61985, -12.89, 24.2471, 44.7551, -34.0344, 5.46888, -94.4451, -8.80901, -27.2603, -29.3807, -121.304, -23.6599, 20.223, 0.33239
5,236.075, -96.1234, 81.6198, -44.14, -69.5029, 32.2551, -7.78441, -32.0311, -19.4451, -46.309, 10.2397, -49.3807, -27.5539, -36.1599, -42.277, 0.0823902
6,36.0751, 3.87658, -18.3802, 80.86, 5.49711, -17.7449, 27.2156, 117.969, 80.5549, 103.691, -39.7603, 30.6193, 97.4461, 13.8401, 7.72297, -0.91761
7,-63.9249, -46.1234, -68.3802, 18.36, -32.0029, -42.7449, 9.71559, 42.9689, 30.5549, 28.691, 35.2397, -9.38066, 34.9461, -11.1599, -17.277, 0.58239
8,136.075, 53.8766, 31.6198, -106.64, 42.9971, 7.25514, -25.2844, -107.031, -69.4451, 178.691, -14.7603, -89.3807, -90.0539, 38.8401, 32.723, -0.41761
9,211.075, 41.3766, -30.8802, 2.73501, 71.1221, 1.00514, 22.8406, 24.2189, -31.9451, 159.941, -46.0103, -19.3807, -43.1789, 32.5901, 1.47297, 0.45739
10,11.0751, -58.6234, 69.1198, -122.265, -3.87789, -48.9949, -12.1594, -125.781, 68.0549, 9.94099, 3.98971, 60.6193, 81.8211, -17.4099, -48.527, -0.54261
11,-88.9249, 91.3766, 19.1198, 65.235, -41.3779, 26.0051, -29.6594, 99.2189, 18.0549, -65.059, -21.0103, 20.6193, 19.3211, -42.4099, 26.473, 0.95739
